deviceCategory,operatingSystem,campaign,medium,continent,Product,Product_Category
desktop,Nokia,AW - Dynamic Search Ads Whole Site,cpm,Oceania,Google Snapback Hat Black,Home/Apparel/Headgear/
mobile,OpenBSD,Data Share,affiliate,Asia,Google Blackout Cap,Home/Office/Notebooks & Journals/
tablet,Chrome OS,AW - Accessories,cpc,Americas,Red Spiral Google Notebook,Home/Drinkware/Water Bottles and Tumblers/
,Firefox OS,AW - Electronics,referral,Europe,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Home/Apparel/Men's/Men's-Performance Wear/
,FreeBSD,(not set),organic,Africa,Crunch Noise Dog Toy,Home/Lifestyle/Fun/
,Windows,All Products,(not set),(not set),Android BTTF Moonshot Graphic Tee,/
,NTT DoCoMo,AW - Apparel,(none),,Android Onesie Sprout Green,More Bags
,Macintosh,Data Share Promo,,,Android Women's Long Sleeve Blended Cardigan Grey,Headwear/
,SunOS,,,,Google Rucksack,Home/Accessories/Sports & Fitness/
,(not set),,,,Google Men's Performance Hero Tee Gunmetal,Limited Supply/
,Samsung,,,,YouTube Men's Long & Lean Tee Charcoal,Home/Fun/
,Linux,,,,Collapsible Pet Bowl,Home/Accessories/Stickers/
,Windows Phone,,,,Bic Digital Clic Stic Stylus Pen,Home/Gift Cards/
,Nintendo WiiU,,,,Men's Atlantis Full Zip Fleece Hoody,Home/Apparel/Women's/Women's-Outerwear/
,Android,,,,Jacquard-Knit Full-Zip Fleece,Home/Electronics/
,Nintendo Wii,,,,Google Women's Yoga Jacket Black,Home/Electronics/Power/
,Xbox,,,,Softsided Travel Pouch Set,Home/Bags/Backpacks/
,BlackBerry,,,,Google Laptop Backpack,Home/Apparel/Men's/Men's-Outerwear/
,iOS,,,,Maze Pen,Office
,Nintendo 3DS,,,,Google Car Clip Phone Holder,Wearables/Men's T-Shirts/
,,,,,Google Men's Lightweight Microfleece Jacket Black,${escCatTitle}
,,,,,Google Men's Microfiber 1/4 Zip Pullover Grey/Black,Google
,,,,,Google Women's Vintage Hero Tee White,Home/Apparel/Women's/Women's-Performance Wear/
,,,,,Android Stretch Fit Hat Black,Fun
,,,,,Google Women's Short Sleeve V-Neck Tee Stone,Home/Limited Supply/Bags/Backpacks/
,,,,,Quatro Retractable Pen,Home/Wearables/
,,,,,ATOM Wireless Earbud Headset,Mens Outerwear
,,,,,YouTube Ceramic Mug 12oz.,Home/Apparel/Kid's/Kids-Youth/
,,,,,Men's Google S/S  Mesh Performance Tee,Apparel
,,,,,Women's Piranha Performance Polo,Home/Office/Office Other/
,,,,,Google Women's Performance Full Zip Jacket Black,Home/Drinkware/Mugs and Cups/
,,,,,YouTube Infant Short Sleeve Tee Red,Lifestyle
,,,,,Google Tote Bag,YouTube
,,,,,Google Men's Long Sleeve Raglan Ocean Blue,Notebooks & Journals
,,,,,20 oz Stainless Steel Insulated Tumbler,Home/Apparel/
,,,,,Recycled Mouse Pad,Home/Apparel/Kid's/Kid's-Toddler/
,,,,,Metal Earbuds with Small Zipper Case,Bags
,,,,,Google Doodle Decal,Home/Drinkware/Bottles/
,,,,,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Home/Limited Supply/
,,,,,Google Men's Vintage Badge Tee Sage,Home/Kids/
,,,,,Waze Men's Short Sleeve Tee,Gift Cards
,,,,,Android Infant Short Sleeve Tee Aqua,Home/Wearables/Men's T-Shirts/
,,,,,Nest® Protect Smoke + CO White Battery Alarm-USA,Home/Apparel/Kid's/
,,,,,Google Men's Around The Block Short Sleeve Tee Ash,Home/Apparel/Men's/
,,,,,Google Men's Bike Short Sleeve Tee Charcoal,Wearables/
,,,,,Google Women's Tank Top Light Gray,Home/Spring Sale!/
,,,,,Google Women's Short Sleeve Shirt Light Grey,Home/Fruit Games/
,,,,,Google Men's Performance Badge Tee Black,Home/Brands/YouTube/
